Id,rating,text
11,3,We ordered a lot of food and shared everything and it was all in generously portioned and delicious. Our group was seated in a separate alcove and it was the perfect level of loud fun ambiance while still being able to have conversations. But the service is kinda negligence.
12,4,"A hidden (literally in the basement) gem just on the outer edge of K-Town. There was no long waiting line, but the restaurant looked fully seated when we came in. The waiters are friendly and food service is relatively fast. The lighting is a bit dark (all my food pictures were taken with flash on). Music was a bit loud but we could still carry a conversation. As for the food - great for the price, especially for this location. Every dish is about $30 but large enough for sharing - we ordered 3 main dishes to share among 4 people: marinated pork feet, corn cheese pancake and spicy squid and pork belly. The marinated pork feet is nicely flavored and has a nice tender to it. I wish we had more lettuce to wrap with the meat, but it only came with 4 big leaves. The meat does get cold pretty quickly as it is serve on a wooden board. The corn cheese pancake is basically cheesy extra soft bread. The corn flavor is a bit weak, as well as the cheese flavor. It might be good for those who like light dishes and don't want something too cheesy. The spicy squid and pork belly is sweet and delicious. It goes really well with rice. Good amount of meat as well as vegetables. Highly recommend this dish! Overall really good experience! I would certainly come back here again and bring a group of friends so we can share and try out more dishes!"
13,5,"Very nicely decorated! We did have a wait for a table of 2 on a Wednesday night. The food was BOMB. Bangia Bingsu— one of their cocktails. It’s a MUST TRY. It was essentially a soju snowcone with fresh fruit and a touch of sweetness. It was fantastic experience too. The spoon literally looks like a snow shovel. The army stew reminded us of Korea! All great, would go again!"
14,4,"The food was really tasty and authentic, and it's an extensive menu to choose from. We noticed the prices were kind of high - mostly over $30/dish - so we thought to only get 3 dishes for 4 people because we assumed the portions were huge. But they were a normal size, and just overpriced. Maybe it's that expensive because there's a 10% discount when you pay with cash, so it's more like $25-$30/dish, but it's still a bit pricey imo. We ended up getting more food somewhere else since a fourth dish would've been too much. The decorations inside were really nice though dim, but there was a doorbell that rings SO LOUDLY every couple minutes, which is just weird."
15,4,"I made a reservation online and their automated system will spam you to remind you of your reservation. There's a 10% discount when you pay in cash. I arrived 10 min early and was able to be seated without my full party. I love the décor. Hooks for belongings along the walls and QR codes to view the menu. What stood out to me was the exceptional staff here; masked, polite, and multiple waiters for all the tables rather than just 1. They gave the table a free seaweed with clam soup for the table to start. We ordered chicken wings (2 flavors) and then the army stew. Both were delicious but I wouldn't say it was exceptional. Since we dined in on a Tuesday, their daily special was $9.99 for their signature cocktails (compared to the usual $16.25!). I liked how I didn't feel rushed out when we were done. Really recommend!"
16,4,"came here for dinner, made a resy for a weekday for 4 people. was seated quickly, got army stew, bulgogi rice platter and seafood pancake. i would say that it’s pretty expensive here, the pancake was like $25 when it’s around $10-15 everywhere else in ktown. not sure i’ll come back here again."
17,1,"I don’t understand the hype about this place. we ordered the soy garlic and the spicy wings, both were bland. The soy garlic had no taste and the spicy ones tasted like ketchup. The cheesy corn pancake was just ok. Also tried some dumplings and they’re deep fried - probably previously frozen. :( the only thing i didn’t mind was the complimentary egg in the stone bowl 😅"
18,5,"Went with a group of friends around 10PM, we had to wait 1 hour to get a table, but we already expected that it would be crowded. I drank some soju with lychee that was really sweet (the way I like) and we ordered the fried chicken (super delicious) and a budaejjigae (the best stew you can eat in cold weather and in a group)"
19,3,5/5 service & atmosphere - great to drink with friends and awesome service. Food sucks? The intestine was stale. Army soup was bland. Fried rice also stale. Idk maybe when you’re drunk it tastes good but I was sober and food was no bueno.
20,5,"The food at Bangia was bangin! We kicked off the night with the lychee soju for the table and really liked how it came with a side of lychees. We also ordered the seafood pancake and it was delicious, on par with other restaurants around the area. Also liked the pork belly as it had a nice crisp to its edges. The highlight of our night was probably the cheesy dokbokki. This is my first time having a cheesy version of it and it was incredible! Lots of cheese!"
21,4,"Food was very tasty and I liked their outdoor set up for dining during the pandemic. It was around 48° and we were quite comfortable eating in their heated hut, plenty of air flowing through. We enjoyed all of our dishes and the cold chamisul (soju). There was one waiter serving all of the outdoor tables, he tried hard but was a little overwhelmed."
22,5,The food is delicious!! One of the best korean restaurants I have been to. It's good for a social gathering but not ideal of date night because it gets very busy and loud.
23,5,"Food: 5/5. Large portions, all served hot and fresh. Particularly recommend the Chapaguri and the tteokbokki. Service: 4/5 really curt service at the door that gave us some grief for having international IDs and vaccine information but ultimately let us in. Atmosphere: 4.5/5 unexpectedly spacious interior with nice decor. The only problem was the very loud music"
24,5,"This place is wonderful, I love it , the food and the drinks are so great, Love it ☺️"
25,4,"Waiters are pushy. And the main manager yells at his waiters frequently. Food was good, typical korean bar affair. Bottles were pushed quickly out to us as needed. If your not sitting in the main area, your pretty blocked off from the main atmosphere."
26,5,"When people think of K-Town, they usually think of Korean BBQ and Soondubu. This place is a nice change of pace from all that. Very good Tteokboki, budae jigae, and Korean Fried Chicken. That watermelon punch was 🔥. So so good. …"
27,5,"Everything was very delicious, the shaved ice alcohol drink was something else, amazing! Great to go with a large group, I feel like the value for money here is great!"
28,5,"A great place to spend your New Year’s Eve! They have good food, drinks, decorations, celebrations and service with a very reasonable price:) would totally recommend! Bring cash for 10% off!"
29,5,Food was so yum and the service was excellent. I’ve tried almost everything and it never disappoints and always satisfies me. Love this place!
30,4,Always like this marinated pork feet! Drinks are good too.
31,4,"the soup tastes great, but the meat inside are all processed food like spam and sausage. The port feet are fine, it will taste better if it were hot. The waiters are very nice and patient."
32,5,Amazing everything! Perfect spot for a date and drink! Also great for hangover foods. Had an amazing squid and meat! The servers are also very nice and witty. Recommended!
33,5,Great place. With affordable price for it location in Manhattan. The dishes are large portions that are meant to be shared among a group. Also if you pay in cash you get a 10% discount on the bill.
34,5,"First and foremost, this is one of the few places that are still serving after midnight. However, their service and food are also great. The serving of pig feet was very generous and the spicy pork with squid had fantastic flavor."
35,5,Great time for late night in Korean town food lots flavor and drinks are good. Service was good and staff very fun and outgoing. Overall great time
36,3,"3.25.19 - came for dinner; family friendly and really nice and attentive staff; the hog trotter is spot on; everything else, seafood pancake, grilled mackerel, wings, and the rice were all good, but nothing too special. Note, the mackerel is dry, so you really need the sauce; the wings in plain form is slightly dry, too. The decor is interesting, dark tones, and masculine. Clubby music, consistent crowd with fast turnover. I think the bar area seems like a good spot to post up, but I assume it can get a little tight. I'd go back for the trotter and pancakes, but all else is normal K-Town fare. 3 stars only because its ultimately base level, and not a knock on anything else. The best part is probably the service."
37,2,"The atmosphere reminded me of Korea, and so much of the beginning experience filled me with nostalgia—I loved that the (original) makgeolli was served in a kettle with metal bowls, the seaweed soup that was given ‘on the house’, and the buttons to call the server over. I had high hopes for the food—but the food was not great, especially at the price point. We got the beef brisket ddukbokki—the rice cakes were overcooked and the flavor was underwhelming. I love both spicy and soy sauce-based ddukbokki, but this one was a total miss, almost inedible. The jokbal (pig trotters) was cooked well, but it seemed to have been marinated with a lot of aromatics (more than what I prefer). It is not served with saeoojeot (fermented tiny shrimp), which was unfortunate, but I liked having it as ssam (wrapped in lettuce). Towards the end of our meal, there was some confusion—a staff member asked us to move to a smaller table to make room for a larger group. Almost as soon as we did so, another staff member was trying to seat a new couple at the smaller table we had moved to, so we were awkwardly with our unfinished makgeolli and coats/bags in our hands as the new couple was waiting for us, and we hadn’t even gotten the chance to take out our wallets to pay the bill. It seems to have just been poor communication going on, but it left a bad impression, and what was supposed to be a celebratory dinner ended up as a “never again.”"
38,4,"Our experience at Bangia was exceptional. The welcoming and efficient service provided by the staff was impeccable. We were thoroughly impressed with the flavor-packed kimchi fried rice and juicy grilled pork belly, though the portion size could have been more generous. We were pleasantly surprised with complimentary steamed egg and cheesy corn pancake, both of which were delectable. The cheesy seafood toekkbokki was a standout dish, perfectly balanced and delicious.The lively and joyful ambiance of Bangia added to the overall experience."
39,5,Omg the food here is super delicious and legit. The army stew was so yummy and great to share with others. Their lychee cocktail was perfect and not too sweet. It comes in a container with a light inside which made it look cool to take pictures with.
40,1,"Worst experience at this place! My husband and I checked in, waited about 10 min, got a text that our table was ready and waited an additional 10 min so they can clean our table… After getting seated, my husband and I are looking at the menu, realized 15 min passed and we still haven’t gotten helped. A table that sat after us got their orders taken before us. We waited an additional 5 min to see if anyone would help and still nothing! We walked out, the hostess and waiter saw us leave and didn’t say a word! I have a feeling they’re racist! My husband and I were the only ones in the restaurant of COLOR. My husband is black and I am Hispanic. Never again. If you are of color please do not go here. This place was recommended by someone working at our hotel, I will let him know about our experience and tell him not to recommend this place, especially if you’re black or Hispanic."
41,5,"This is one of my go-to places in ktown! While it's off the main ktown block, I consider that a plus as you can just walk in on a Friday night and get a seat. The servers are really friendly and patient. The food and drinks are also fantastic. They have really good pork belly!"
42,5,"Such a fun place, and the food was great."
43,5,Very cute interior and even better shaved ice! The lychee and mango shaved ice with soju were very good and I will definitely be back!
44,1,Finished a shift from work and was gonna check out what the homies next door on my right have but we have some grown dude verbally yelling at one of their staff while the other one was sitting there. Girlie if you see this you deserve better than some old loser yelling in your face like that. I can get you a better job. Just go next door and ask for my name and leave ur info
45,4,"Food came out quickly, portions were large and tasty. The menu is online via a qr code and inside dining was reservation only. The outside dining was clean, warm and divided each table with plexiglass."
46,5,"A Korean friend brought me and my partner here for drinks and food. Everything was great, and service was phenomenal. We were there early on a Wednesday (6:15) got a table to problem (they sat us before our whole party was there, as they had just opened). Kimchi pancake was great. Portions are HUGE! definitely meant for sharing!"
47,2,"Service was a bit disappointing. My friends and I are not Koreans and we didn’t feel very welcome. I also got yelled at when making the line at the bathroom. I originally thought it was just a random event and didn’t want to post my review, but checking the other reviews it seems people have complained about the same issues."
48,4,Different than other Korean restaurants which i have been. But is good. It a bar and restaurant in the basement. And the location is hard to find. But the food and service is good.
49,4,"Food and drinks here were great, the service is friendly and items came out fast. It helps coming with someone who speaks Korean!"
50,5,We ordered octopus and pork stir fry and army stew. The food was amazing and maaaaaasive. Easily feed 3 of us. Definitely we come back to try others!
51,5,One of the waiters recommended a really tasty dish and the drinks were also delicious.
52,4,"Good food, service, and got a shot for my bday so that made me very happy :)"
53,5,We randomly walked into this place for some small bites and drinks and it was the best hidden gem we’ve been to. The food was exceptional and the entire vibe of the place was great. We will definitely be going back again.
54,3,"Solid Korean spot on 32nd and 5th, good food, pretty restaurant, nice atmosphere and environment, reasonably priced. The noodles were really tasty 😋 Need some work on the chicken though, quite overcooked/overfried …"
55,1,"One star for take out Teokbokki. I ordered the pork and kimchi teokbokki and it came with no sauce, just a puddle of oil from the grilled pork. I had to pour the oil out because there was so much pooling at the bottom of my dish. If you are in the area and want a teokbokki dish, I would not recommend the pork and kimchi one here."
56,1,"Food is good, but all the servers have serious attitude problem...we got yelled at when we were simply waiting in line for bathroom"
57,2,"Overly crowded and loud. Mediocre food, blandly flavored. No staple Korean side dishes."
58,5,My favorite authentic K-town late night bar. The egg thing w the pepperoni and the grilled mackerel are so dope. Buddae jiggae Is a must ! Staff is authentic efficient and kind. We pretty much always get the same thing. Cool vibes too.
59,4,The place is kinda dark. It’s located on basement. The service is slow. The portions are big.
60,4,Very much like late night eateries in Seoul. Great low key no fuss vibes with solid options where you can keep the night going or end it with authentic Korean drinks and food. Loved it. On my list as one of my spots now.
61,4,Pretty cool spot with interesting ornaments (see: big giraffe) and the ambiance was bar-like but with more seating. Music selection was great. Signature Drinks were supposed to be 9.99 but we got charged 15 for the Bangia Bingsul. Guess it wasn't part of the signature drinks deal? One warning about the food is the corn cheese pancake. It was mediocre (think microwave pizza) and definitely not worth $35.49.
62,5,"The ddeokbokki is to die for, GREAT selection of sojus, and awesome staff. We came for dinner, and ended up coming back about an hour later (after running errands) to sit at the bar and try out more of the sojus. This place is a staple for me when I'm in the city!"
63,1,Noisy. Bad food. Meh service. Expensive. Perfect New York City combo
64,5,The setting is cute and dark. The staff is very helpful when it comes to understanding somethings on the menu. The food is delicious! They were very nice in bringing out a cake my friends brought from outside for my birthday!
65,5,This place was awesome yummy food good vibe nice service absolutely we will back.
66,4,Good anju (drinking food) and fun atmosphere to go with friends. Prices are reasonable for ktown and portions are made for sharing. Fun interior and attentive servers.
67,5,"This is such a cozy bar! The food is a mighty portion for one person, but still tasty. Make sure to grab a bottle of soju if you stop by."
68,1,"Entered the restaurant with my fiancé. I’m Korean and my fiancé is Latino. Host asks how many, in English, and I tell him 2. He tells me there’s a 30 minute wait, which we agree to and accept. Literally 5 seconds later a group of 4 walk in. He asks them, in English, how many people then notice the whole party is Korean so starts speaking Korean. They tell him 4, in Korean, and he tells them he has two small tables that he can combine for them. I hear this, because I am standing right there. And I am fluent in Korean, so I look at the host, and we walk out. And that, my friends, is how u get a 1 star. By discriminating. I didn’t even want to tell him I understood Korean because that definitely pissed me off."
69,5,"The food was delicious, came quickly, and the employees were kind. The environment is super cute, they try harder to create a cool experience than 90% of NYC bars. Can’t wait to go back. Really fun spot."
70,5,This place was great! My friend and I had an awesome meal and the staff was very friendly. I wish we were able to drink that day because it would have only added to the experience. Will definitely go again!
71,1,"This place is horrifying. The food was in very poor condition and the overall quality of sanitation was terrible. The kimchi was fermenting in a big trashcan and was placed in the hallway where people dine. The strawberries in the cocktail had mold on them and the place was reeking with a disturbing odor. The working environment for the waitor seemed very concerning as well. The person who I assume to be the manager was shouting and throwing cups at a coworker. This happened in front of all the customers, which was very disturbing. I’m writing this review for the sake of all potential customers so that they won’t have to go through this traumatizing experience."
72,5,"most delicious tteokbokki i've ever had, tasty cocktails, awesome ambiance. will definitely come back here next time i visit NYC."
73,4,"Not a bad place for drinks and food. I prefer the truffle noodles and beef stew, army stew, spicy stew and wings. I like the texture and ingredients for the seafood pancake but the taste is a little bit different. Maybe cause the sauce is more bland."
74,1,"The place is overrated. Used to be good but now the food quality has gone down and filled with rude staff. Each dish is around $27 and it’s super small sized. The staff all have huge egos. Ordering you around. Also had an extremely unpleasant experience as we were leaving. A guy came up to our party and said “We have a long wait, please help yourself out” within 5 min of us getting the check. Avoid this place at all cost."
75,5,My all time favorite bar. They always welcome ppl. Love love their vibes. They try their best to develop new drinks and food menu seasonally. You never get bored with them.
76,3,"Decor - could do with an update everything seemed a little dilapidated and the bright lights strewn about restaurant refocused the attention away from these issues. Service - was mediocre at best a lack of attentive staff who just seemed to want to get you in and out and slap a plate of food in-front of you didn’t seem too welcoming and friendly. Food - here is where it gets better the beef bulgogi was great sweet, savory and rich pairs well with the rice. The stews we ordered were good in flavor. But I have say keeping skin on the chicken was a no no as it was dimpled and severely chewy yuk! Price - reasonable considering Korean tends to run on the pricey side compared to most other cuisines. Won’t be running back to this place but it was ‘decent’ hence the 3 stars."
77,5,"We read on the reviews that it had the best Tteokbokki ever, and it lived up to it, the food in general is delicious, the drinks are also amazing, I had a strawberry bingsul that was surprisingly DELICIOUS! Service is ALSO great, the staff was really nice and mindful! I'm so coming back more times!"
78,5,Always a good experience here. The waiters are super friendly and the food is good. Everything is pretty large so share between friends and get containers if you can't finish.
79,5,"Delicious korean food. Make sure to make a reservation if going around dinner time on weekends, otherwise I have experienced one hour + waits. Get the corn cheese pancake!!!"
80,3,"Overpriced street food. I got their most popular dish: Army Soup, and I regretted it after. The warm cheesy hot dog juice with tofu that cost $45 has gave me a stomach ache. If you do end up here, order family style."
81,5,Good food & drinks! Great shooters & lychee bingsoo. Busy
82,5,"Went there with our Finance Team to celebrate the end of a good year for the company. Loads of food, which was delicious. Took home the two pork dishes for leftovers. One was the fish cake soup and the other was the marinated beef rice platter. The servings were so plentiful and the seasoning was so delicious! We also had spicy squid, spicy french fries (don't eat more than one at a time unless you're game to take the heat). Also loved the Army Stew and the story behind it. Let's talk about the drinks. We had Lychee martinis that were fabulous. They might have been a little sweet at first, but the alcohol sneaks up on you. Wait staff was very attentive and pleasant. Atmosphere was fine because they had screens playing current music from BTS and other contemporary groups. Would love to go again."
83,4,"Place is great, bar upfront, really cool atmosphere and great service and really good food, definitely planning on going again"
84,5,Traditional korean food/big portion/good location/fun place to drink!
85,5,"Fun vibe, tasty menu. The squid and pork belly, and the yuzu unfiltered soju, were standouts."
86,4,Foods are great - we loved the army stew! The servers are super friendly and patient. We reserved our place on a Saturday night and went early. The place didn't open until 5:30 pm. despite slots being shown as available before that in their online reservation system( I remembered). So just make sure to double-check.
87,4,"Not typical Korean restaurant, meaning you can order food not that spicy. Remember bringing your ID if you want to drink alcohol."
88,5,This is a nice hidden bar/restaurant in KTown that rarely has a wait and has great cheap food.
89,5,"Kinda a hidden spot (it's a basement), but a perfect place for bar food/Korean snacks."
90,3,"The food is okay, the lychee smoothie is very good. Highly recommended. There servers is indeed very handsome, but I hope next time not only show up order food and check out."
91,4,"The army pot was objectively good, but since it’s a common dish, I think it felt sloppy for some reason & not as good as other places. Other dishes where unique and delicious."
92,5,Good portions for the price. Very tasty! I recommended the lychee soju cocktail♡♡♡ it's my new fave. Sorry for the crummy pictures lolol
93,4,"Very friendly staff, big portions of yummy food at reasonable prices !!"
94,5,"Absolutely the best Korean food I’ve ever had in my life. From the food to the service, to the ambiance, everything was a 10/10. Most of our party were new to Korean cuisine and our server was happy to lead us through the menu, making sure we had everything we needed to fully experience Bangia. We even had a member of our party with food sensitivities and the staff were so caring and accommodating that I’ll recommend this place to anyone all day every day. Thank you guys for one of the coolest dining experiences ever. I’m gonna be dreaming about that pork kimchi stew and army stew for the rest of the year. I’ll definitely be back one day!"
95,5,"Prior to the pandemic, my friends and I would stop in for drinks after work. They have a small bar but good Korean side dishes and large menu. I haven't been for a full meal but seemed popular the host kept checking in people every few minutes while we were there."
96,1,"Be aware that they served Soju with the lid opened. I visited here with my coworker a year ago at around 7 pm. (The reason I'm trying to leave this review now. I don't want other ppl to experience this like me.) On that day, We ordered popular foods and a bottle of Soju. a Korean tall young man served the Soju and food. He literally serves Soju with the lid opened. (I've never seen this in my whole life ) I tasted Soju and it taste like soju mixed with water. I was too shocked to claim it to the man and also too busy to talk with my coworker. and just ignored it. and now I'm writing this review because I've never been there again and this terrible memory still stays in my head. but I love their food tho."
97,1,"Worst place in ktown for sure. Used to be decent years ago. Overpriced food that's probably all microwaved (>$30), terrible service. Waiter/host was hanging out outside swinging a golf club with a friend while people were waiting to order. Literally go anywhere else"
98,5,Great food and fast service. Found on Yelp. Nice atmosphere too would definitely recommend and return the next time I visit.
99,5,Great late night wings and frozen soju with fun vibe.
100,5,Incredible food and service. Everything was really tasty and food was ready really quick.
101,5,"I love Bangia, and I guarantee that you will too. I’m literally here all the time. Food is great, service is great and I’ve never felt uncomfortable eating here which can sometimes be an experience for black people in Ktown. Love them and I recommend them to people all the time."
102,2,"Food is fine, but the service is poor. We kept waiting for 40mins until I asked why we couldn't sit on the empty seats at the bar (they were always empty since we arrived). They told us that's because we didn't want to sit at the bar, but we never said so! After seated, we waited another 10min before we realized we needed to scan to get the menu. No one introduced that to us."
103,5,The food was good but honestly Seunghyuk was the top tier service that every food service industry staff should learn from. He made me and my friends entire night.
104,5,"One of the best pocha in ktown. The staff here are friendly and welcoming. Food and drinks are amazing and delicious. We spent most of our weekend night in here. You must try the cheese and chicken feet, and chicken gizzards. Tastes great."
105,4,"Great happy hour! $10 for their signature cocktails and $7 for sangria. Got busy after 7pm, but we got a table in 15 mins. Food is pretty good. The cheese corn pancake was huge and loaded with cheese if you like that. It filled me up pretty quickly after one slice. Great place to hang out with friends and share food."
106,5,"Food in a very good portion. If you look for a korean mood meal, this is the right place. ;)"
107,4,Good spot for an afterwork diner. I like the laidback atmosphere.
108,5,I love this place!! My boyfriend and I normally stop here before / after dinner reservations to pass time and it's always a good time here. The small plates are really good too! The drinks are delish and the ambiance is always fun :)
109,5,Many food and drink options. Pretty decor and good music. Big portions. We were greeted promptly at the counter and the waiters/waitresses were super nice and patient. 10% off if you pay with cash. Overall had a fun pleasant time with friends. One of the better korean restaurant/bar near ktown. Will be back!
110,5,My favorite Korean restaurant in ktown! They serve big family style dishes for sharing. Their cocktails are also really yummy.
111,2,"Food was good but the host guy at reception was extremely rude and condescending. We made a reservation for 6:45 and arrived at 6:50 which was within Bangia’s grace period (10 min, so by 6:55). The host didn’t even greet us, the first thing he said was “you are late!” When we explained our reservation was for 6:45 he then said the table was ready at 6:32 and accused me of not responding to his text messages. But our reservation was at 6:45. How am I supposed to arrive before my reserved slot just because the table was ready a few minutes earlier? When I showed him the text messages where I did also reply 1 to confirm my reservation he kept giving us attitude and lecturing us, “don’t be late next time ok?” It was very unprofessional and patronizing Also there was not line and 4-5 empty tables when we arrived. What’s the point of badgering your customers when they made a reservation, arrived on time for the reservation, and there were many empty tables?? Extremely disappointed. No one should be treated like this. Wouldn’t come back. Wanted to be clear this review is specifically for the HOST guy at RECEPTION, NOT the servers who helped our table. Servers were good. It’s the host who was rude and condescending."
112,4,Personally I don't really like spicy food. My friends love it. The seafood pancake is good. They have the best fried chicken compare to other Korean fried chicken places.
113,5,"You’ve just finished up a three rounds of pool down the street and six times as many tequila shots. Before that you were pregaming in an East Village apartment and it started at 6pm on a Friday. You’re seeing double. You’ve got a 10am Soul Cycle class tomorrow. BANGIA will get you there on time and sober. Get the army stew - personally I say leave the cheese out because it gives the soup a nasty taste- and let the electrolytes, carbs, and proteins go to work. It’s big enough for four people so bring your friends. The food is priced for a group. Enjoy. And to the people complaining about the service - reality check: we waited 5 minutes on a Friday night."
114,5,"delicious food overall! army stew is fab!! spicy pork stir fry was a hit and lychee soju is a must. very busy usually, try to make a reservation beforehand!"
115,2,"The food was great. We had the spicy chicken stew and the spicy fried dumpling. However, the staff did not make me feel comfortable. The waiter assigned to our table only took our order and stayed away from our table for most of the evening. There was this one waitress with bleached blonde hair that kept staring at me as if she‘s never seen a black person before. She was hovering around our table and no one else’s. She was very attentive to our table and wasn’t even our waitress. She wasn’t staring at my friend or anyone else at the restaurant, just me.... Towards the end, the waiter assigned to our table was gawking at me too. I was the only black person in the restaurant. As a person who has gone to plenty of Korean restaurant/spots, I’ve never experienced this before. They cannot expect their restaurant to survive if they keep gawking at their POC patrons."
116,5,Yummy macguli and food. I brought my colleges they love all food we order. Especially macguli cocktail I love it!!!
117,5,"The drinks were great. I love the table buzzers, it makes me feel more comfortable when I need something to call the server over by ringing for them. The fist cake soup was delicious but the egg was the least tasty one I've ever had."
118,5,"Extremely friendly atmosphere even during peak hours, environment never changes, food is always consistent, drinks are always good, and music and decor are cute. I am glad I still anticipate coming here every time I visit ny! Introduced my coworkers from philly and they have said they also enjoyed the food, the music, drinks, but most of all, the friendly and tentative service"
119,5,"Food is fantastic and cool place. The waitor we had must be new. Nice guy though. He couldn't make any recommendations and told us the the portion size was small, which turned out to be the opposite. The army stew is so delicious! I will definitely go back."
120,4,"The vibe of the place is really outstanding. It gives you that ""underground bar"" kind of feeling because it literally is underground. Food was good, (little pricey), drinks were good. Only problem i had was that the service of the staff was a little slow, although they were really helpful when you ask. Can definitely go here with a small group or large group."
121,4,Great atmosphere mainly full of younger people. This place is very hard to spot since it is in the basement and the sign outside is not very visible. It is right next to duet and once you walk down the stairs you will see a bar. This place gets really packed during the evening so you may have to wait 30 minutes or so before getting to order at a table. The food is served in smaller portions so you may have to order 2 dishes in order to be satisfied.
122,4,"They have a great mixture of food selection, ranging from casseroles to grilled food to even some finger food like calamari and fries! The food portion to price is pretty good considering how yummy the food was. I especially enjoyed the clam casserole with a hint of a kick, which was popular for people who couldn't eat spicy food."
123,5,I would say it's a staple in K-Town. The food was amazing. The drinks hit the spot. Staff was friendly and attentive. What caught my attention was a minor detail. Every seat came with a blanket. Very cozy. I definitely recommend this spot. Cheers...
124,5,"When you know a good place you want to come back. My friends and I stop by Bangia tonight for couple drinks. I like to spoil my friend who doesn't want to go home yet, lol. We get a table at the bar area. I share a bottle of wine with my friend and another friend just has light beer."
125,5,"Delicious and filling food, I can never finish my plate! Beautiful atmosphere inside, alright outdoor sitting."
